weight_class,category,direction,rank,fighter,score,prior_fights,days_since_last_fight,supporting_stats_json
Light Heavyweight,reach_for_size,best,2,Brendson Ribeiro,6.0,7,35,"{""height_inches"": 75.0, ""reach_inches"": 81.0, ""reach_minus_height_inches"": 6.0}"
Light Heavyweight,reach_for_size,best,3,Ovince Saint Preux,5.0,28,581,"{""height_inches"": 75.0, ""reach_inches"": 80.0, ""reach_minus_height_inches"": 5.0}"
Light Heavyweight,reach_for_size,best,4,Jiri Prochazka,5.0,9,28,"{""height_inches"": 75.0, ""reach_inches"": 80.0, ""reach_minus_height_inches"": 5.0}"
Light Heavyweight,reach_for_size,best,5,Tyson Pedro,4.0,11,798,"{""height_inches"": 75.0, ""reach_inches"": 79.0, ""reach_minus_height_inches"": 4.0}"
Light Heavyweight,reach_for_size,worst,1,Marcin Prachnio,-2.0,11,294,"{""height_inches"": 75.0, ""reach_inches"": 73.0, ""reach_minus_height_inches"": -2.0}"
Light Heavyweight,reach_for_size,worst,2,Paulo Costa,-1.0,12,28,"{""height_inches"": 73.0, ""reach_inches"": 72.0, ""reach_minus_height_inches"": -1.0}"
Light Heavyweight,reach_for_size,worst,3,Anthony Smith,0.0,25,378,"{""height_inches"": 76.0, ""reach_inches"": 76.0, ""reach_minus_height_inches"": 0.0}"
Light Heavyweight,reach_for_size,worst,4,Magomed Ankalaev,0.0,14,217,"{""height_inches"": 75.0, ""reach_inches"": 75.0, ""reach_minus_height_inches"": 0.0}"
Light Heavyweight,reach_for_size,worst,5,Junior Tafa,0.0,8,7,"{""height_inches"": 75.0, ""reach_inches"": 75.0, ""reach_minus_height_inches"": 0.0}"
Heavyweight,overall,best,1,Jon Jones,2.401,23,539,"{""prior_elo"": 1793.811, ""prior_win_rate"": 0.957, ""recent_5_win_rate"": 1.0, ""avg_sig_str_differential_per_15"": 38.673, ""prior_finish_win_rate"": 0.522}"
Heavyweight,overall,best,2,Tom Aspinall,1.613,9,651,"{""prior_elo"": 1638.584, ""prior_win_rate"": 0.889, ""recent_5_win_rate"": 0.8, ""avg_sig_str_differential_per_15"": 85.33, ""prior_finish_win_rate"": 0.889}"
